tag,source,out_degree,k,method,seed,sigma0_saa,sigma0_mc,sigma_saa,sigma_mc,R_saa,R_mc,saa_mc_gap,cut_size,hop_mix,stop_reason,seconds,candidates,tie_split_at_cutoff,tie_group_sizes,iterations_done,evaluations,scope_weights,repair_weights,destroy_weights,best_hits_by_heuristic,best_hits_by_hop,best_hits_by_scope,scope_selected,neutral_moves,fallback_used,layer_sizes,q_bounds,param_max_iter,param_segment_length,param_repair_p,param_q_min_frac,param_q_max_frac,param_reaction_factor,param_max_hop_scope,param_fixed_hop_scope
typical,359,22,8,alns,7.0,325.596,304.7485,92.772,90.3755,0.7150702097077359,0.703442346721969,0.011627862985766901,8,{0: 8},max_iter,14.28,,,,300.0,277.0,"{0: 2.114347222614128, 1: 0.6299355453261638, 2: 0.6157591516477982, 3: 0.7364350163742076}","{'random': 0.9778338174164403, 'probability': 1.6505695515842107, 'degree': 1.8064337643176902, 'bridge': 0.7282647333545788, 'betweenness': 0.8002170200295002, 'spectral': 1.2260142895906037}","{'random': 0.8785979409157516, 'worst': 1.7096152644135487, 'related': 0.822762069854309}","{'random': 1, 'probability': 4, 'degree': 4, 'bridge': 0, 'betweenness': 0, 'spectral': 2}",{0: 11},"{0: 11, 1: 0, 2: 0, 3: 0}","{0: 135, 1: 50, 2: 43, 3: 72}","{'random': 1, 'probability': 4, 'degree': 3, 'bridge': 1, 'betweenness': 1, 'spectral': 4}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 22, 1: 927, 2: 11508, 3: 8839}","(1, 3)",300.0,20.0,6.0,0.1,0.4,0.1,3.0,
typical,359,22,11,greedy_random,7.0,325.596,304.7485,202.894,181.663,0.37685352399906635,0.40389206181490633,-0.02703853781583998,11,{0: 11},topk,0.21,22.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,11,greedy_probability,,325.596,304.7485,74.744,68.3465,0.7704394402879642,0.7757281824192735,-0.005288742131309365,11,{0: 11},topk,0.08,22.0,"(2, 11)","[13, 5, 4]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,11,greedy_degree,,325.596,304.7485,163.686,159.6905,0.49727269376773664,0.47599249873256144,0.021280195035175198,11,{0: 11},topk,0.18,22.0,"(1, 0)","[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,11,greedy_bridge,,325.596,304.7485,248.178,232.388,0.2377731913168467,0.23744333442166243,0.0003298568951842773,11,{0: 11},topk,0.26,22.0,"(8, 11)","[19, 3]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,11,greedy_betweenness,,325.596,304.7485,101.052,100.3295,0.689639921866362,0.6707793475603654,0.018860574305996636,11,{0: 11},topk,0.11,22.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,11,greedy_spectral,,325.596,304.7485,163.686,159.6905,0.49727269376773664,0.47599249873256144,0.021280195035175198,11,{0: 11},topk,0.0,22.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,359,22,11,alns,7.0,325.596,304.7485,59.456,65.7495,0.8173933340704431,0.7842499634944881,0.03314337057595507,11,{0: 11},max_iter,9.65,,,,300.0,265.0,"{0: 1.2917678069771767, 1: 0.27597400421857726, 2: 0.25418658283290013, 3: 0.36475251618861004}","{'random': 0.28242953648100017, 'probability': 1.0979095893287494, 'degree': 0.903719362315995, 'bridge': 0.22876792454961012, 'betweenness': 0.6074924839450844, 'spectral': 1.184077905823479}","{'random': 0.7612557851977831, 'worst': 1.0211803114306468, 'related': 0.2058911320946491}","{'random': 0, 'probability': 2, 'degree': 0, 'bridge': 0, 'betweenness': 2, 'spectral': 3}",{0: 7},"{0: 7, 1: 0, 2: 0, 3: 0}","{0: 164, 1: 52, 2: 34, 3: 50}","{'random': 0, 'probability': 1, 'degree': 2, 'bridge': 0, 'betweenness': 4, 'spectral': 6}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 22, 1: 927, 2: 11508, 3: 8839}","(1, 4)",300.0,20.0,6.0,0.1,0.4,0.1,3.0,
typical,218,25,5,greedy_random,7.0,370.246,366.4855,329.372,322.204,0.11039687126937214,0.1208274270059797,-0.01043055573660756,5,{0: 5},topk,0.35,25.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
typical,218,25,5,greedy_probability,,370.246,366.4855,165.44,151.899,0.5531619517834089,0.5855252117750906,-0.03236325999168177,5,{0: 5},topk,0.17,25.0,"(1, 2)","[18, 3, 3, 1]",,,,,,,,,,,,,,,,,,,,,
typical,218,25,5,greedy_degree,,370.246,366.4855,273.396,271.724,0.26158283951750994,0.2585682107477649,0.003014628769745009,5,{0: 5},topk,0.3,25.0,"(1, 0)","[2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
